genus	root_og	n_clusters
Klebsiella	COG2030	79
Enterococcus	COG1181	62
Acinetobacter	COG4628	92
Listeria	COG1434	53
Acinetobacter	COG2723	32
Enterococcus	COG0420	36
Chromobacterium	COG4388	39
Bacillus	COG1858	9
Serratia	COG4723	87
Acinetobacter	31A0G	20
Clostridioides	COG0566	21
Serratia	2Z9V5	10
Vibrio	COG1363	23
Proteus	COG1898	50
Vibrio	33DRY	55
Vibrio	COG3350	139
Pseudomonas	2Z8PP	14
Proteus	COG0764	40
Acinetobacter	COG5290	26
Erwinia	COG3146	22
Serratia	COG4104	147
Burkholderia	COG0265	378
Burkholderia	COG2905	62
Chromobacterium	COG1434	38
Acinetobacter	COG1683	95
Proteus	33GG2	18
Proteus	COG3481	29
Campylobacter	COG2198	27
Serratia	32YGZ	7
Enterococcus	COG1876	35
Pseudomonas	2ZAR4	8
Yersinia	COG4644	212
Chromobacterium	COG3239	19
Salmonella	32X8U	2
Chromobacterium	COG3568	28
Pseudomonas	COG0744	56
Enterococcus	COG2508	58
Legionella	COG0125	34
Klebsiella	3325Y	1
Serratia	COG0240	18
Serratia	COG1598	27
Salmonella	COG3324	1
Streptococcus	COG1434	224
Neisseria	COG3736	52
Erwinia	COG1835	124
Pseudomonas	COG3416	17
Legionella	COG0275	31
Burkholderia	COG1993	84
Burkholderia	3309P	4
Neisseria	COG2731	47
Vibrio	COG1268	7
Pseudomonas	COG5416	11
Klebsiella	32QDR	48
Pseudomonas	33FKT	3
Yersinia	COG4127	22
Clostridioides	COG5485	11
Listeria	COG2337	42
Listeria	COG1363	82
Burkholderia	33VA5	54
Bacillus	COG4978	69
Enterococcus	COG1774	16
Pseudomonas	335EK	6
Campylobacter	COG1404	48
Listeria	COG1694	65
Salmonella	32ZB3	14
Salmonella	COG4409	11
Enterococcus	COG0612	36
Listeria	COG4221	46
Mycobacterium	COG3742	104
Chromobacterium	COG5635	19
Neisseria	COG5362	92
Mycobacterium	COG1287	28
Streptococcus	COG3292	11
Chromobacterium	COG1359	29
Burkholderia	2Z84S	4
Burkholderia	COG0521	55
Yersinia	COG0754	26
Acinetobacter	COG0367	43
Erwinia	COG4373	41
Serratia	COG0053	27
Pseudomonas	COG2982	90
Yersinia	COG0678	23
Clostridioides	COG0428	19
Pseudomonas	COG1561	22
Klebsiella	2Z8Y8	5
Campylobacter	COG1959	25
Enterococcus	COG3566	8
Klebsiella	COG1075	66
Erwinia	COG1021	11
Yersinia	COG3615	26
Burkholderia	COG1570	81
Pseudomonas	COG3748	21
Salmonella	COG2368	16
Vibrio	COG2324	10
Legionella	COG1145	10
Proteus	COG4785	13
Vibrio	COG3134	29
Erwinia	COG0491	105
Vibrio	2Z8HD	143
Pseudomonas	COG3956	17
Acinetobacter	COG3609	29
Yersinia	COG0811	54
Francisella	COG1335	25
Acinetobacter	339KB	19
Mycobacterium	COG3402	101
Staphylococcus	COG3409	24
Klebsiella	COG3934	25
Proteus	COG2056	1
Vibrio	COG4677	38
Klebsiella	2ZJHW	1
Serratia	COG1422	7
Erwinia	32TGJ	7
Enterococcus	COG1887	32
Pseudomonas	COG0822	21
Erwinia	COG5487	17
Neisseria	COG3241	64
Pseudomonas	32XB1	19
Streptococcus	COG2027	1
Listeria	COG4392	22
Pseudomonas	33AEK	14
Campylobacter	COG0018	19
Legionella	COG1721	41
Listeria	COG4928	13
Proteus	COG1053	34
Listeria	COG2333	83
Serratia	COG0679	32
Serratia	COG4688	25
Klebsiella	COG2921	22
Klebsiella	COG2908	31
Campylobacter	COG1280	34
Pseudomonas	COG2936	19
Klebsiella	332ZH	9
Yersinia	32SYP	8
Burkholderia	31GAD	11
Burkholderia	COG4702	96
Burkholderia	COG1426	121
Burkholderia	COG1228	130
Staphylococcus	342VT	19
Staphylococcus	COG4994	31
Klebsiella	COG4317	9
Yersinia	COG1587	25
Proteus	COG4384	8
Proteus	COG4786	13
Vibrio	COG3943	86
Burkholderia	COG0084	139
Burkholderia	COG2902	54
Proteus	316V4	16
Corynebacterium	COG2086	139
Pseudomonas	COG3342	17
Pseudomonas	COG1360	66
Erwinia	COG3274	32
Enterococcus	COG1527	16
Salmonella	COG1671	36
Proteus	COG0560	49
Pseudomonas	COG5005	50
Chromobacterium	COG1488	26
Klebsiella	COG0594	21
Staphylococcus	COG2246	65
Serratia	COG0119	29
Pseudomonas	2Z9JD	4
Serratia	COG1671	32
Salmonella	COG4264	11
Mycobacterium	2ZPN2	37
Mycobacterium	COG4927	16
Bacillus	COG2204	55
Vibrio	2ZREC	17
Erwinia	COG0388	82
Erwinia	COG1064	78
Salmonella	COG1376	44
Legionella	COG0680	26
Klebsiella	3392Z	44
Klebsiella	COG2829	24
Klebsiella	COG4925	48
Yersinia	COG2022	25
Burkholderia	COG4676	25
Legionella	COG2902	61
Campylobacter	COG1450	26
Chromobacterium	COG0759	18
Listeria	COG1386	21
Acinetobacter	COG3221	25
Francisella	COG0446	17
Acinetobacter	COG3450	87
Enterococcus	COG0107	14
Pseudomonas	COG1443	21
Salmonella	COG3521	32
Salmonella	COG3279	57
Enterococcus	COG0702	41
Erwinia	COG0606	22
Burkholderia	33FJ0	9
Staphylococcus	COG3410	78
Erwinia	COG4137	18
Enterococcus	COG2005	14
Yersinia	COG1188	23
Proteus	COG3545	11
Mycobacterium	32V22	6
Yersinia	COG3892	21
Burkholderia	COG3703	71
Francisella	COG1196	14
Chromobacterium	COG3209	89
Bacillus	COG1539	32
Vibrio	COG0759	47
Serratia	2ZC4T	2
Klebsiella	COG1819	23
Chromobacterium	32VTH	14
Legionella	COG1573	23
Vibrio	32XHQ	1
Salmonella	COG2923	8
Salmonella	COG3745	1
Klebsiella	32T57	21
Salmonella	COG0645	9
Proteus	COG0027	16
Serratia	COG3468	11
Serratia	COG3701	10
Burkholderia	30MY3	2
Salmonella	COG4456	31
Klebsiella	COG4951	7
Mycobacterium	COG2013	100
Acinetobacter	2Z8G1	4
Vibrio	COG5504	24
Campylobacter	COG3723	6
Erwinia	32UJG	3
Vibrio	331A7	25
Chromobacterium	COG1576	14
Serratia	COG3128	12
Pseudomonas	331C3	12
Listeria	COG3077	7
Listeria	COG1660	26
Clostridioides	COG1509	8
Yersinia	2Z7J1	23
Yersinia	COG1682	53
Salmonella	COG2236	9
Proteus	COG2915	13
Proteus	33A5I	18
Yersinia	33ETG	1
Neisseria	COG0608	60
Vibrio	COG0864	4
Enterococcus	COG1278	85
Chromobacterium	32TAZ	8
Burkholderia	335HZ	46
Chromobacterium	31DZ3	7
Acinetobacter	COG4849	40
Neisseria	COG3515	44
Serratia	32YHQ	11
Erwinia	COG1539	18
Neisseria	COG1020	16
Erwinia	COG3755	37
Campylobacter	COG1739	14
Pseudomonas	COG1393	55
Corynebacterium	COG3040	31
Helicobacter	COG0172	19
Neisseria	33A95	3
Klebsiella	COG2962	52
Pseudomonas	30KDM	3
Klebsiella	2Z7II	24
Vibrio	2ZFGF	11
Salmonella	30M15	2
Pseudomonas	COG0645	27
Streptococcus	COG1443	17
Yersinia	2Z7W5	32
Proteus	2Z7UD	7
Serratia	COG1556	2
Campylobacter	COG1544	10
Chromobacterium	COG2824	14
Salmonella	COG1188	10
Listeria	COG4249	14
Vibrio	COG3146	20
Francisella	COG4974	36
Neisseria	COG0384	12
Chromobacterium	COG0796	16
Clostridioides	COG0698	17
Klebsiella	COG4916	47
Erwinia	COG1544	36
Burkholderia	COG0641	47
Legionella	COG1748	35
Serratia	COG3316	98
Acinetobacter	COG1886	10
Acinetobacter	32ZH9	49
Pseudomonas	32Z8A	39
Listeria	COG2105	23
Yersinia	COG3655	20
Mycobacterium	COG3794	136
Enterococcus	COG3188	8
Neisseria	COG2091	40
Klebsiella	COG3394	31
Pseudomonas	COG0314	21
Francisella	COG1866	11
Mycobacterium	COG3751	26
Pseudomonas	COG1188	16
Yersinia	COG3050	23
Burkholderia	32TVI	54
Listeria	COG1934	12
Francisella	COG2834	18
Staphylococcus	COG0388	117
Chromobacterium	COG0420	11
Clostridioides	COG1030	4
Klebsiella	COG1493	1
Klebsiella	COG0572	37
Erwinia	COG3275	28
Corynebacterium	COG3344	18
Bacillus	COG0826	68
Proteus	COG0229	13
Mycobacterium	COG1204	32
Erwinia	2ZE2J	12
Listeria	COG2176	38
Staphylococcus	COG1956	86
Pseudomonas	31FVF	8
Neisseria	COG4648	43
Enterococcus	COG0742	21
Serratia	COG0784	90
Chromobacterium	COG1053	31
Campylobacter	32SKA	2
Erwinia	COG0424	36
Salmonella	32NBR	6
Acinetobacter	COG4308	13
Corynebacterium	COG4111	4
Legionella	COG4757	1
Campylobacter	COG3550	25
Burkholderia	323UG	19
Salmonella	COG0132	16
Bacillus	COG1377	37
Mycobacterium	COG0390	78
Pseudomonas	32ZWP	9
Klebsiella	COG0319	45
Campylobacter	COG0467	11
Neisseria	32ZXM	22
Yersinia	COG0767	45
Yersinia	COG3272	31
Chromobacterium	COG1886	63
Francisella	COG1058	10
Salmonella	COG1368	14
Burkholderia	2ZYGH	7
Vibrio	COG1641	9
Proteus	COG0174	15
Salmonella	COG0730	43
Salmonella	COG3519	60
Enterococcus	COG1296	19
Burkholderia	33WHC	1
Staphylococcus	COG4672	5
Enterococcus	COG3481	19
Legionella	COG0668	49
Chromobacterium	COG3187	26
Chromobacterium	COG2374	12
Salmonella	COG3321	19
Salmonella	COG1410	42
Enterococcus	COG0489	30
Pseudomonas	COG1490	22
Proteus	30VQ4	3
Klebsiella	COG4222	10
Bacillus	COG3596	2
Serratia	COG1783	69
Helicobacter	COG2755	1
Vibrio	COG2140	16
Legionella	COG4591	41
Staphylococcus	COG1752	41
Salmonella	32Y5T	9
Klebsiella	COG2010	33
Pseudomonas	COG0720	17
Clostridioides	COG2855	9
Proteus	32ZXM	7
Yersinia	COG2304	72
Burkholderia	COG1105	70
Mycobacterium	COG4861	51
Yersinia	33131	4
Serratia	COG2166	21
Vibrio	2Z9A1	6
Pseudomonas	33CBN	17
Chromobacterium	COG0317	30
Serratia	COG1600	13
Bacillus	COG5634	31
Pseudomonas	COG4913	39
Acinetobacter	2Z83C	24
Proteus	COG0824	26
Burkholderia	COG1431	50
Serratia	33Q50	5
Klebsiella	COG3544	68
Enterococcus	COG2301	20
Campylobacter	COG0627	3
Salmonella	COG0178	39
Erwinia	COG2114	3
Serratia	COG3293	10
Mycobacterium	COG1629	9
Listeria	COG2890	33
Klebsiella	COG1716	6
Klebsiella	33CA4	11
Clostridioides	COG1112	4
Neisseria	COG1808	29
Pseudomonas	335S9	2
Pseudomonas	COG3145	25
Erwinia	COG2137	18
Campylobacter	COG2958	21
Streptococcus	COG1673	69
Klebsiella	2ZAR4	21
Burkholderia	COG2323	14
Francisella	COG1385	11
Proteus	COG1611	33
Proteus	COG1075	21
Legionella	COG0785	24
Yersinia	COG0026	26
Helicobacter	COG0780	13
Burkholderia	3302Q	41
Pseudomonas	COG2149	14
Proteus	COG0340	15
Pseudomonas	COG1474	44
Klebsiella	31JBN	4
Bacillus	COG3013	11
Proteus	COG0563	19
Neisseria	COG0314	27
Chromobacterium	COG4391	14
Klebsiella	COG1573	23
Bacillus	COG3144	30
Salmonella	COG2138	1
Enterococcus	COG0764	35
Helicobacter	COG0486	21
Bacillus	COG1546	38
Vibrio	339IV	21
Pseudomonas	COG3847	19
Serratia	COG0708	14
Neisseria	COG0820	68
Klebsiella	COG3145	34
Burkholderia	338UJ	17
Erwinia	30A6T	6
Streptococcus	32VMJ	5
Enterococcus	COG1253	36
Serratia	COG0681	16
Enterococcus	COG4430	34
Yersinia	COG3809	18
Klebsiella	COG4233	28
Listeria	COG1708	5
Pseudomonas	31W6X	5
Neisseria	COG5001	1
Staphylococcus	32Z43	1
Listeria	32SV9	3
Listeria	COG2827	21
Campylobacter	COG3440	10
Enterococcus	COG1840	9
Erwinia	COG3191	5
Pseudomonas	COG2096	19
Acinetobacter	2ZA57	9
Clostridioides	COG1690	21
Burkholderia	COG4278	75
Burkholderia	COG4970	53
Erwinia	COG3608	5
Salmonella	COG3710	71
Vibrio	COG5343	23
Klebsiella	COG3647	18
Acinetobacter	32VU4	1
Chromobacterium	COG2234	15
Pseudomonas	COG5331	5
Salmonella	COG3775	37
Salmonella	COG4572	9
Streptococcus	COG1408	16
Chromobacterium	COG1942	14
Klebsiella	2Z89M	16
Corynebacterium	COG1554	40
Neisseria	COG3428	17
Mycobacterium	COG3063	31
Yersinia	COG0174	32
Serratia	32VC7	3
Burkholderia	33URV	15
Bacillus	COG3152	20
Klebsiella	COG3242	22
Erwinia	COG1511	4
Klebsiella	2ZIWJ	16
Bacillus	COG2721	68
Corynebacterium	COG3620	36
Burkholderia	COG3453	61
Legionella	COG2335	5
Vibrio	330NG	69
Salmonella	COG0861	37
Bacillus	COG1694	140
Salmonella	COG5569	6
Yersinia	COG1801	27
Klebsiella	COG0314	28
Burkholderia	2Z8Q4	9
Yersinia	COG4174	27
Vibrio	32YVF	132
Acinetobacter	COG2242	4
Burkholderia	32FKQ	17
Salmonella	COG0329	47
Bacillus	COG3531	7
Burkholderia	COG0803	61
Serratia	COG3122	11
Pseudomonas	COG2223	95
Campylobacter	COG0662	21
Campylobacter	COG1215	30
Erwinia	COG3591	26
Yersinia	COG0656	85
Bacillus	COG4123	35
Erwinia	COG0698	25
Yersinia	32TBC	23
Streptococcus	COG3422	6
Bacillus	COG1544	31
Neisseria	COG0799	56
Francisella	COG0708	14
Proteus	COG1474	10
Proteus	COG1690	28
Chromobacterium	COG3450	7
Klebsiella	3322R	36
Pseudomonas	COG0608	24
Chromobacterium	33186	1
Burkholderia	4QGHN	12
Legionella	32S82	5
Francisella	COG3516	19
Proteus	COG3045	13
Chromobacterium	COG4726	32
Burkholderia	30ED6	34
Corynebacterium	COG0683	11
Vibrio	2ZSFP	22
Yersinia	COG2872	15
Yersinia	COG0525	33
Salmonella	32SDV	29
Legionella	COG0840	42
Chromobacterium	COG2840	14
Klebsiella	3333J	19
Erwinia	COG4228	11
Yersinia	COG2900	23
Acinetobacter	32UGP	2
Staphylococcus	COG0810	23
Francisella	COG4125	10
Enterococcus	COG1621	35
Salmonella	33HPI	1
Enterococcus	COG3237	24
Klebsiella	33BKK	9
Klebsiella	COG1272	28
Klebsiella	COG1466	20
Staphylococcus	COG1636	62
Erwinia	COG1814	1
Chromobacterium	COG4581	13
Erwinia	COG0799	18
Clostridioides	COG3959	27
Clostridioides	COG5566	38
Yersinia	COG0514	44
Helicobacter	COG0566	14
Chromobacterium	COG4709	28
Salmonella	COG5393	9
Clostridioides	COG0737	39
Vibrio	32W2H	10
Klebsiella	COG1319	25
Acinetobacter	COG3878	37
Burkholderia	COG3166	65
Neisseria	COG2081	15
Pseudomonas	COG1569	27
Serratia	COG0063	17
Campylobacter	COG1368	14
Neisseria	COG0840	23
Campylobacter	COG3668	32
Salmonella	COG0569	25
Burkholderia	COG2321	60
Klebsiella	COG4706	17
Erwinia	31ZIC	2
Yersinia	COG2161	48
Burkholderia	2Z7QC	12
Francisella	COG0212	11
Klebsiella	2ZAQZ	21
Erwinia	COG1074	29
Streptococcus	COG3664	43
Vibrio	2Z85R	9
Corynebacterium	COG5614	17
Burkholderia	COG3431	12
Corynebacterium	COG2364	34
Chromobacterium	2Z9G8	5
Neisseria	COG3721	35
Serratia	33KMM	4
Pseudomonas	COG2822	6
Serratia	COG1488	13
Burkholderia	COG1657	117
Erwinia	COG5430	50
Proteus	COG3753	13
Clostridioides	COG1670	64
Proteus	2Z8K9	13
Neisseria	COG0340	58
Neisseria	COG1373	72
Pseudomonas	COG0424	35
Burkholderia	3334Q	18
Burkholderia	2ZKFM	4
Vibrio	32WND	30
Burkholderia	COG2377	59
Erwinia	COG1496	34
Proteus	COG2849	3
Klebsiella	32T4W	27
Proteus	32UK3	9
Erwinia	COG0661	24
Burkholderia	31E64	1
Salmonella	COG2022	17
Chromobacterium	32RHE	19
Erwinia	COG0510	22
Serratia	COG1359	49
Salmonella	COG1611	11
Yersinia	COG0300	64
Salmonella	COG2333	25
Klebsiella	2Z932	17
Yersinia	2ZQMW	3
Yersinia	COG0399	95
Erwinia	COG2246	17
Pseudomonas	COG1485	65
Chromobacterium	COG5581	14
Mycobacterium	COG2232	31
Legionella	COG5395	4
Mycobacterium	COG1236	23
Pseudomonas	COG2452	3
Serratia	COG1934	13
Burkholderia	COG2272	57
Helicobacter	COG0861	17
Vibrio	COG3754	25
Mycobacterium	COG1606	8
Campylobacter	COG0559	12
Klebsiella	COG1585	37
Klebsiella	33709	15
Serratia	COG5507	12
Mycobacterium	32WE6	29
Corynebacterium	COG4748	46
Salmonella	COG4680	27
Acinetobacter	COG0296	8
Bacillus	COG1725	99
Helicobacter	COG1842	54
Acinetobacter	2Z9ZM	62
Streptococcus	COG0420	33
Pseudomonas	COG2836	15
Clostridioides	COG0384	36
Vibrio	COG4636	27
Vibrio	33D4U	8
Corynebacterium	COG0778	150
Enterococcus	COG1570	21
Legionella	COG2177	31
Proteus	COG1671	24
Neisseria	COG2314	35
Campylobacter	COG0728	18
Streptococcus	COG3314	10
Proteus	COG3521	21
Vibrio	30WF0	5
Enterococcus	COG3422	3
Burkholderia	COG1462	55
Campylobacter	COG0469	13
Helicobacter	COG1778	13
Corynebacterium	COG1322	75
Proteus	COG5301	69
Enterococcus	COG1053	22
Helicobacter	COG1426	35
Chromobacterium	334HB	9
Staphylococcus	COG1722	69
Pseudomonas	32RPP	14
Vibrio	2Z9JN	17
Salmonella	COG3420	37
Serratia	COG2865	16
Salmonella	COG1522	55
Vibrio	33GKI	10
Pseudomonas	COG1300	16
Erwinia	32RNM	9
Enterococcus	COG5464	3
Burkholderia	COG0339	77
Serratia	COG0166	18
Pseudomonas	3303T	14
Vibrio	COG2149	31
Pseudomonas	COG3793	14
Vibrio	32UE7	10
Chromobacterium	308Y1	14
Bacillus	COG4377	10
Acinetobacter	COG2501	2
Vibrio	31EB9	6
Salmonella	COG2840	13
Campylobacter	COG4385	15
Vibrio	COG1030	82
Neisseria	32V6V	4
Klebsiella	COG2840	47
Acinetobacter	COG4130	1
Klebsiella	COG1533	12
Mycobacterium	COG4651	37
Serratia	COG3077	20
Vibrio	COG0754	76
Yersinia	31D5W	23
Francisella	COG0545	13
Bacillus	COG1055	70
Burkholderia	COG5591	9
Listeria	COG3451	29
Burkholderia	COG2320	5
Francisella	COG0438	122
Klebsiella	33GRV	13
Burkholderia	2ZREC	5
Corynebacterium	COG4222	42
Campylobacter	COG3628	7
Chromobacterium	COG5433	16
Klebsiella	COG2907	31
Acinetobacter	COG5513	39
Vibrio	COG3669	12
Clostridioides	COG1074	18
Acinetobacter	COG3000	65
Neisseria	COG0684	26
Legionella	COG0282	55
Legionella	COG1053	40
Yersinia	COG4291	21
Erwinia	COG0172	22
Yersinia	COG0339	34
Serratia	COG0458	30
Helicobacter	COG1452	13
Enterococcus	COG1533	7
Neisseria	COG4672	23
Burkholderia	COG3222	9
Listeria	COG3335	2
Clostridioides	COG3773	10
Pseudomonas	COG3127	29
Serratia	2ZBPP	32
Francisella	COG4172	3
Salmonella	COG3709	3
Serratia	2Z8H7	12
Campylobacter	COG4092	10
Erwinia	COG2827	17
Burkholderia	COG5441	11
Listeria	COG1622	26
Streptococcus	COG2204	27
Klebsiella	4QBP3	21
Neisseria	COG1357	42
Salmonella	COG3472	7
Acinetobacter	COG3155	32
Burkholderia	COG3591	77
Francisella	COG1917	9
Vibrio	COG3905	46
Proteus	COG0706	15
Enterococcus	COG0662	17
Chromobacterium	COG3663	14
Acinetobacter	COG0614	47
Proteus	COG2924	14
Acinetobacter	COG3339	50
Mycobacterium	COG3187	43
Serratia	COG5499	19
Burkholderia	COG4308	16
Chromobacterium	COG4585	14
Serratia	COG1032	18
Legionella	COG1061	38
Pseudomonas	COG3655	45
Klebsiella	COG0283	36
Neisseria	COG0601	44
Yersinia	COG0795	49
Serratia	COG3009	17
Burkholderia	31Q2H	6
Francisella	COG4221	25
Klebsiella	COG0137	39
Chromobacterium	COG1418	14
Erwinia	32RZ4	17
Yersinia	COG3550	70
Mycobacterium	COG5502	79
Enterococcus	COG0599	33
Listeria	COG2186	23
Vibrio	2Z9V5	27
Salmonella	COG0006	32
Campylobacter	COG2132	12
Burkholderia	32QJE	16
Bacillus	2Z81U	21
Campylobacter	COG3018	12
Chromobacterium	COG0807	30
Erwinia	COG1570	21
Klebsiella	COG1636	14
Klebsiella	309MK	5
Mycobacterium	2Z8Y8	6
Streptococcus	305A1	11
Proteus	COG0530	15
Neisseria	COG0155	66
Helicobacter	COG0680	12
Burkholderia	COG2425	33
Burkholderia	33CWG	28
Acinetobacter	32TM5	1
Klebsiella	COG4129	20
Proteus	COG0037	26
Acinetobacter	2Z9MP	54
Corynebacterium	COG3293	135
Chromobacterium	COG1327	14
Enterococcus	COG0196	20
Salmonella	COG3549	29
Klebsiella	COG1127	82
Pseudomonas	COG1272	17
Vibrio	2ZATU	7
Salmonella	30WBS	5
Neisseria	2ZHQM	25
Proteus	COG2995	32
Yersinia	COG1387	35
Helicobacter	COG0132	12
Acinetobacter	2ZG4Y	36
Acinetobacter	32RPY	7
Francisella	COG2072	13
Proteus	COG4637	15
Pseudomonas	COG3384	60
Streptococcus	COG4032	6
Vibrio	COG3179	63
Pseudomonas	2ZADV	36
Staphylococcus	COG1372	18
Staphylococcus	COG1715	20
Legionella	COG0343	60
Streptococcus	COG0644	8
Chromobacterium	COG0826	60
Francisella	COG1485	12
Chromobacterium	COG0507	30
Yersinia	COG0154	21
Vibrio	33A7N	5
Acinetobacter	2ZBJ1	50
Pseudomonas	32QJX	7
Legionella	COG2353	60
Vibrio	2ZSUK	33
Francisella	COG0296	14
Francisella	COG3022	10
Vibrio	COG2906	70
Pseudomonas	COG1011	59
Klebsiella	COG2846	22
Mycobacterium	COG3108	1
Staphylococcus	COG0470	69
Enterococcus	COG1387	21
Pseudomonas	COG3310	2
Pseudomonas	COG0594	17
Yersinia	32FKQ	7
Francisella	COG0079	7
Salmonella	COG0489	28
Helicobacter	COG1757	20
Yersinia	COG2866	24
Yersinia	COG2891	25
Erwinia	32YGZ	13
Bacillus	2Z7UD	12
Chromobacterium	COG3172	15
Pseudomonas	32RYJ	1
Burkholderia	33AET	10
Klebsiella	32UM0	5
Erwinia	COG3850	19
Legionella	COG3555	3
Salmonella	COG3437	15
Streptococcus	32S3Q	4
Corynebacterium	COG1585	92
Salmonella	COG1653	24
Legionella	COG2165	59
Klebsiella	COG3323	1
Francisella	COG0807	11
Campylobacter	COG0668	38
Vibrio	COG0349	150
Neisseria	COG0329	77
Proteus	COG0742	26
Yersinia	32RR9	7
Neisseria	COG0136	58
Vibrio	COG4282	9
Yersinia	COG1921	52
Yersinia	COG3142	27
Serratia	COG4994	16
Bacillus	COG0265	146
Vibrio	COG2980	134
Erwinia	COG1285	17
Proteus	COG0663	27
Bacillus	COG4672	1
Corynebacterium	COG1149	1
Pseudomonas	COG3165	17
Listeria	COG2755	104
Burkholderia	339P5	20
Proteus	COG0489	24
Klebsiella	32UJG	24
Mycobacterium	COG4104	13
Salmonella	32T34	4
Chromobacterium	COG0647	19
Helicobacter	COG0204	13
Proteus	COG4085	7
Proteus	COG4172	34
Proteus	COG3117	13
Serratia	COG2501	11
Campylobacter	COG0382	17
Burkholderia	32ZJG	40
Yersinia	COG0726	93
Listeria	COG0095	65
Vibrio	COG2044	16
Clostridioides	COG1988	17
Proteus	COG2989	15
Staphylococcus	COG3142	28
Burkholderia	2Z7W5	45
Campylobacter	COG4106	11
Salmonella	COG0525	30
Neisseria	33A4Z	31
Campylobacter	COG3218	1
Serratia	COG1100	21
Enterococcus	COG0061	17
Campylobacter	COG2206	3
Serratia	32TZ0	4
Listeria	COG5635	28
Burkholderia	305A1	25
Yersinia	COG0535	18
Proteus	COG0680	28
Erwinia	COG3145	17
Neisseria	COG0767	54
Listeria	COG0655	11
Enterococcus	COG1283	21
Chromobacterium	COG0685	14
Burkholderia	32SFR	9
Proteus	COG3081	32
Klebsiella	2Z7UD	48
Burkholderia	32SKX	20
Pseudomonas	2Z9W1	15
Campylobacter	COG1432	19
Serratia	COG4387	33
Campylobacter	COG1576	15
Bacillus	COG1395	19
Burkholderia	COG4460	92
Yersinia	COG1729	30
Yersinia	COG2914	23
Salmonella	2Z8NN	38
Salmonella	COG3303	14
Pseudomonas	COG5545	26
Mycobacterium	COG4725	78
Proteus	COG0240	22
Mycobacterium	COG1466	195
Vibrio	COG5534	8
Helicobacter	COG4942	22
Serratia	COG2824	11
Bacillus	COG1720	5
Serratia	COG3678	22
Acinetobacter	32S82	28
Neisseria	31TIF	1
Salmonella	COG3827	6
Enterococcus	COG1682	30
Acinetobacter	COG4709	2
Clostridioides	COG1077	21
Helicobacter	COG0642	47
Klebsiella	COG1562	7
Bacillus	COG3203	11
Chromobacterium	COG4653	7
Klebsiella	2ZKB5	8
Proteus	COG4701	13
Salmonella	COG3087	22
Salmonella	2Z824	11
Pseudomonas	COG3600	9
Burkholderia	32RWS	73
Neisseria	COG1989	56
Corynebacterium	COG1563	3
Neisseria	COG0694	15
Bacillus	COG2513	64
Pseudomonas	COG2320	21
Yersinia	31QWG	16
Francisella	COG0463	92
Bacillus	COG0299	32
Proteus	COG2944	28
Serratia	COG1040	31
Enterococcus	COG2242	5
Vibrio	2ZAJ0	12
Streptococcus	COG1262	27
Burkholderia	31Y28	59
Pseudomonas	312E7	1
Proteus	COG1544	28
Pseudomonas	3383V	5
Listeria	COG0845	48
Klebsiella	COG3094	21
Neisseria	2Z7HV	14
Legionella	COG1426	33
Clostridioides	COG4928	12
Chromobacterium	COG1536	29
Listeria	COG1335	42
Enterococcus	COG3976	23
Burkholderia	COG4754	125
Klebsiella	32Z2Y	7
Chromobacterium	COG0470	19
Serratia	COG3525	31
Corynebacterium	COG1959	50
Burkholderia	COG3540	31
Serratia	COG1786	2
Klebsiella	COG3120	17
Campylobacter	COG0468	13
Neisseria	COG2116	63
Yersinia	2ZB5X	17
Neisseria	COG2105	1
Vibrio	2ZGX9	19
Salmonella	COG0744	25
Burkholderia	COG3569	41
Yersinia	32YV7	1
Yersinia	COG2991	23
Yersinia	COG0763	33
Salmonella	COG2055	25
Francisella	COG2835	11
Vibrio	COG1572	40
Proteus	COG2005	15
Staphylococcus	COG4625	7
Neisseria	32TY9	35
Burkholderia	33FFY	33
Yersinia	COG5455	7
Salmonella	COG0224	16
Enterococcus	COG0119	17
Proteus	COG3598	13
Erwinia	COG2335	8
Campylobacter	COG1283	15
Staphylococcus	COG3729	13
Salmonella	2Z844	17
Clostridioides	COG1253	24
Campylobacter	COG1696	36
Klebsiella	COG2365	33
Acinetobacter	COG3636	145
Klebsiella	COG0128	47
Burkholderia	COG4877	28
Yersinia	COG2510	27
Burkholderia	COG2843	32
Salmonella	3241P	2
Helicobacter	COG1403	27
Corynebacterium	COG5470	36
Clostridioides	COG1106	15
Salmonella	COG2865	15
Clostridioides	COG0842	50
Proteus	COG3335	11
Chromobacterium	COG0050	63
Bacillus	COG3969	2
Yersinia	COG4972	26
Serratia	COG1292	65
Serratia	COG1296	24
Proteus	COG2813	16
Bacillus	COG0465	57
Enterococcus	COG5519	10
Clostridioides	COG0826	26
Burkholderia	316X6	50
Acinetobacter	COG2770	88
Klebsiella	COG4121	39
Bacillus	COG3195	12
Chromobacterium	32YI0	1
Serratia	2ZB6Z	3
Yersinia	COG1305	31
Pseudomonas	COG4268	30
Vibrio	32S4A	13
Staphylococcus	COG2224	3
Erwinia	COG3068	19
Acinetobacter	32YG3	21
Klebsiella	COG4290	1
Acinetobacter	2ZA60	7
Pseudomonas	COG0132	19
Staphylococcus	COG1054	58
Chromobacterium	COG0803	16
Campylobacter	COG0789	36
Salmonella	COG0196	17
Bacillus	COG3019	1
Serratia	COG0155	14
